feature,importance
Carbs,0.17025808912169707
Fat,0.16310364565599644
Fibre,0.110305146180669
Protein,0.09739136420707768
Saturates,0.09055754647449496
Sugars,0.08433440795779015
Calories,0.046492205165101906
Salt,0.045887136552684206
butter,0.04144073894193994
honey,0.008117810717776895
soy sauce,0.006398536631340648
ginger,0.006045500989550557
Cook Time (Minutes),0.0059243944433384306
egg,0.0054123268323452
olive oil,0.004843950538355034
bacon,0.004680644044038975
wine,0.0038511798197508346
cream,0.0025519391264388156
Main Ingredient_Fruit,0.002093369388930973
fish sauce,0.002037703907016412
Main Ingredient_Vegetable,0.0015515356203374072
anchovy fillets,0.0015150091462652728
bread,0.001489410525901176
dark chocolate,0.00144961349623398
rum,0.0011603215829423764
sausage,0.0011368309800703406
aubergine,0.0010218748687665028
cauliflower,0.0010172311449971089
chilli,0.000996389036392133
flour,0.000941103875047967
garlic,0.0009070505876949884
Main Ingredient_Pork,0.0008785340896319722
prosciutto,0.0008766209181247464
spring onions,0.0008684352667193237
onion,0.0008187146958333367
vodka,0.0008081630914089042
yoghurt,0.0007903842023870441
Main Ingredient_Pasta,0.0007831192857657428
champagne,0.0007686236241354643
yeast,0.0007553871442864277
lemon,0.0007448682188408383
ricotta cheese,0.0007290053822509352
Difficulty_NOT TOO TRICKY,0.0007101145785711083
cheese,0.0006632547875258621
butternut squash,0.0006463765336281636
sugar,0.0006404795819147071
milk,0.0006377116595793906
pancetta,0.0006373218089214875
Difficulty_SUPER EASY,0.0006344623661604366
ham,0.0006143903295075079
vinegar,0.0005828346362607148
Main Ingredient_Bread,0.0005686645374008872
caster sugar,0.000562133514222594
lime,0.0005593675146527157
sesame oil,0.000557023304990551
pepper,0.0005435174628446502
Main Ingredient_Curry,0.0005417231483807593
watermelon,0.0005353927651667663
chicken,0.0005206597921638091
mint,0.0005111732175317637
Main Ingredient_Potato,0.0004915379943925016
carrot,0.000488523226046698
orecchiette,0.0004838280561400326
celery,0.00048041398508611604
mango,0.0004799616970546693
syrup,0.0004720107834969288
blackberries,0.00047056080558965084
kale,0.00046558600407794256
potato,0.00045594356665959186
parsley,0.0004550018525630792
sprouts,0.00044706810305986295
wine vinegar,0.00044641369634130807
plain flour,0.0004460504601484665
feta,0.0004367866295353746
chorizo,0.0004356429543739168
sea salt,0.00043477548256486354
vegetable oil,0.0004316223821731219
bean,0.00043022748966838027
basmati rice,0.0004289225342462276
tequila,0.00042818494957309563
courgette,0.00042015724610542125
water,0.0004185627665940036
plum tomatoes,0.0004164744672236778
Main Ingredient_Ice Cream,0.0004125299677629195
orange,0.0004121069230467251
Main Ingredient_Beef,0.0004099329804507061
Cook Time Group_30 to 70 mins,0.00040515235096710546
Cook Time Group_30 to 70 mins.1,0.0004042225556991567
rosemary,0.000401019667851667
Cook Time Group_15 to 30 mins,0.00039680865848574397
tomato,0.00039140655449509715
mustard,0.00038865848758550355
paprika,0.0003873642355985353
Main Ingredient_Seafood,0.0003817578386036897
basil,0.00038071485096089635
mushroom,0.00037807253600774705
spaghetti,0.0003685273748754792
thyme,0.00036221296154445733
harissa,0.0003607648011169066
cranberries,0.0003593905192094902
sweet potato,0.0003546318934761848
anchovies,0.00035409622195417377
Cook Time Group_15 to 30 mins.1,0.0003531237039454903
bread flour,0.0003522304719081592
pistachios,0.0003455506046886727
fennel seeds,0.000334540743941669
icing sugar,0.0003317191988484776
pear,0.00033017907579200966
manchego,0.0003294061698432357
salt,0.0003289991187809212
penne,0.0003289579515322748
buttermilk,0.00032688014782345155
pecorino cheese,0.0003232413170725636
rioja,0.0003231975899736946
coriander,0.0003217868926394087
bay leaves,0.00031955802550730455
strawberries,0.00031770271390914827
mincemeat,0.0003175897521383193
pork mince,0.0003156802494700997
Difficulty_SHOWING OFF,0.00031153507512574416
Main Ingredient_Healthy Breakfast Ideas,0.00030836733198800315
vermouth,0.00030796417834047355
Main Ingredient_Desserts,0.00030710224344086015
gnocchi,0.00030637218887953545
feta cheese,0.00030479928903966424
oregano,0.00030298627312662883
unsalted peanuts,0.0003024039021760285
rapeseed oil,0.0003015254077328033
lemongrass,0.0002999333028600796
leek,0.0002991961107881845
fruit,0.0002937014156402381
broccoli,0.0002911905435678457
desiccated coconut,0.00029118759765926847
oats,0.00028825375421033316
Main Ingredient_Mushroom,0.00028611392346272334
spinach,0.00028558380617837417
cornichons,0.0002836782468885245
rice,0.00028359781507014307
chilli oil,0.00028323901750299636
grapefruit,0.0002821079105162464
frozen peas,0.00027581026152148126
mozzarella,0.0002756088900690846
Main Ingredient_Chocolate,0.00027504152617273934
cinnamon,0.0002748269176950482
hazelnuts,0.00027459880427998764
Cook Time Group_70 to 100 mins.1,0.0002741236439998109
Main Ingredient_Cheese,0.0002730653375737927
liquor,0.00026829636697034333
pastry,0.0002676781151840855
fig,0.00026754918742168923
apple,0.0002627013861897668
beer,0.0002619764241077734
