Ingredient,Count
acorn squash,3
aioli,1
ajo,1
ajwain,1
alcohol,1
ale,8
allspice,25
almonds,170
amaretti biscuits,5
amaretto,3
anchovies,8
anchovy fillets,66
andouille,1
angelica,1
anise,1
aniseed,1
aperol,1
apple,159
apricot,10
armagnac,4
arrabbiata sauce,1
artichoke,18
asafoetida,1
asparagus,74
aubergine,85
avocado,91
baby capers,39
baby leeks,9
bacon,137
bagel,1
baguette,5
baileys,1
banana,58
baps,1
barolo,1
basil,248
basmati rice,92
bay leaves,183
bean,210
beansprouts,17
beef,53
beef mince,18
beer,2
beetroot,33
beets,4
belly,5
berkswell,1
berries,38
biber,3
biscotti,2
biscuits,4
bitters,1
black olives,66
black peppercorns,30
blackberries,19
blancmange,1
bloomer,1
blueberries,23
bok choi,5
bologna,1
bolognese,1
borlotti beans,5
bourbon,4
bourguignon,1
brambles,1
bran,3
brandy,31
bread,235
bread flour,62
breadcrumbs,103
bream,8
bresaola,2
brie,3
briks,1
brisket,9
broad beans,36
broccoli,67
brown sugar,90
bucatini,3
bun,39
burrata,1
butter,734
buttercream,1
butterghee,1
buttermilk,19
butternut,1
butternut squash,84
cabbage,72
cake,4
calvados,4
camembert,3
campari,1
cannelloni tubes,6
caperberries,1
capers,24
capsicum,3
caramel,1
cardamom,5
cardamom pods,33
carrot,331
cashew nuts,23
cashews,2
caster sugar,324
cauliflower,51
celeriac,19
celery,242
champagne,3
chanterelles,1
chapatis,2
chard,7
chardonnay,2
cheddar,6
cheese,447
cherries,45
cherry,1
cherry tomatoes,175
chervil,10
chestnuts,30
chia,2
chianti,5
chicken,306
chicken breasts,72
chicken stock,131
chickpea flour,3
chickpeas,77
chicory,11
chilli,849
chilli oil,13
chipolata,7
chipotle paste,4
chips,2
chives,60
chocolate,53
choi,9
choi sum,1
chops,8
chorizo,36
choy,1
chuck,1
ciabatta,17
cider,63
cinnamon,163
cinnamon stick,34
clam,18
clementine,69
clementine juice,3
clove,63
cobbettes,1
cockles,7
cocoa,2
cocoa powder,65
coconut,15
coconut flakes,5
coconut milk,89
coconut oil,18
coffee,10
cognac,4
cointreau,4
coleslaw,1
compote,1
cordial,2
coriander,380
coriander seeds,69
corn,7
corn cobs,1
cornbread,3
cornflakes,1
cornflour,50
cornichons,16
cornmeal,6
cottage cheese,30
courgette,106
courgette flowers,3
couscous,45
crabmeat,17
crackers,2
crackling,1
cranberries,51
cream,290
crema,1
cress,39
crisps,2
crostini,6
crumpet,5
cucumber,106
cumberlands,1
cumin,4
cumin seeds,109
cupcakes,1
currants,3
curry leaves,34
custard,7
dal,2
dare,2
dark chocolate,127
dashi,1
date,25
demerara sugar,25
deseeded,2
desiccated coconut,41
dill,67
drambuie,1
dressing,6
dried apricots,29
dried fruit,20
dripping,4
drumsticks,1
duck,28
duck breast,7
duck leg,3
dukkah,7
dumplings,2
egg,773
egg yolks,46
elderflower cordial,11
emmental,1
endive,1
epazote,1
escalopes,1
espresso,3
farfalle,6
fennel,93
fennel seeds,120
fenugreek,3
fenugreek leaves,3
fenugreek seeds,14
feta,6
feta cheese,110
fig,17
fish sauce,45
flatbread,23
flaxseed,5
flour,333
flowering oregano,5
fraiche,1
frangipane,1
fresh fruit,7
frozen,2
frozen peas,95
fruit,7
fudge,1
furikake,1
fusilli,4
galangal,1
galliano,1
garam masala,44
garlic,1202
gelatine,9
gem,1
gemelli,1
ghee,3
gherkin,22
gin,6
ginger,369
gingernut biscuits,1
glaze,1
glucose,3
gnocchi,11
gochujang,1
golden syrup,25
gooseberries,1
gordal,1
gorditas,1
grain,9
granary bread,1
granola,2
granules,1
grapefruit,10
grapes,9
grappa,2
gravy,4
green beans,50
greens,6
ground cumin,93
groundnut oil,54
grouse,1
guacamole,4
guinness,3
gum,13
haggis,3
halloumi,5
ham,33
hanout,5
harissa,38
hazelnuts,51
herbs,91
hobnobs,1
hogget,2
hollandaise,2
honey,242
honeycomb,2
horlicks,2
horseradish,41
houmous,4
icing sugar,132
ipa,2
jam,34
jelly,8
juniper berries,13
kabocha,1
kale,36
kernels,2
ketchup,6
kidneys,1
kimchee,1
kimchi,6
king prawns,55
kirsch,2
kiwi,2
knuckle,2
labneh,1
lager,2
lamb,12
lamb cutlets,5
lamb mince,7
lamb neck,11
lamb shoulder,16
lard,1
lardons,1
leche,4
leek,128
lemon,899
lemon zest,6
lemonade,1
lemongrass,37
lentil,45
lettuce,129
lime,319
lime juice,10
lime leaves,22
limoncello,5
linguine,21
linseed,4
liqueur,1
liquor,1
liver,1
loaf,12
lobster,2
macaroni,9
mace,1
mackerel,1
madeira,1
madeira sponge,1
malbec,1
maltesers,1
manchego,1
mandarin,1
mangetout,10
mango,45
mango chutney,35
margarine,15
maria,1
marinated olives,1
marjoram,5
marmalade,13
marnier,1
marrow,1
marsala,4
marshmallows,3
marzipan,6
masala,2
mascarpone,8
matchsticks,2
mayonnaise,26
meat stock,1
meatballs,1
melon,2
meringue,3
methi,2
milk,327
mince,2
minced,1
minced lamb,4
mincemeat,9
mini tortillas,1
mint,347
mirin,9
mixed spice,22
monkfish fillets,4
mooli,1
mortadella,2
mozarella,1
mozzarella,76
muffins,1
mushroom,144
mussel,28
mustard,188
mustard seeds,54
mutton,1
natural yogurt,3
nduja,1
nectar,1
nectarine,1
negra,1
nettles,1
noir,1
noodles,15
nori,3
nutella,1
nutmeg,139
nuts,108
oatmeal,1
oats,62
oelek,2
oil,78
okra,4
olive oil,1867
olives,19
onion,781
orange,220
orange juice,15
orange zest,2
orecchiette,7
oregano,137
orzo,3
ovaltine,1
oyster,2
oyster sauce,8
padano,1
palm sugar,13
pancakes,3
pancetta,67
paneer,2
paneer cheese,8
panettone,5
pangrattato,1
pappardelle,2
paprika,198
parathas,1
parma,1
parmesan,10
parsley,356
parsnip,32
partridge,6
passata,27
passion fruit,11
pasta,29
pastina,3
pastrami,1
pastry,49
pea shoots,9
peach,23
peanuts,9
pear,39
pearl barley,15
peas,39
pecans,15
pecorino,2
pecorino cheese,22
pectin,1
peel,9
penne,27
pepper,326
peppercorn,24
peppermint,1
pesto,16
pheasant,6
piccalilli,1
pickle,1
pie,2
pigeons,3
pimms,1
pineapple,23
pinenuts,1
pisco,1
pistachios,58
pistou,1
pittas,3
plain flour,420
plantain,5
plum,12
plum tomatoes,205
polenta,25
pollen,2
pomegranate,43
pomegranate juice,5
popcorn,1
poppadoms,15
poppy,2
porchetta,1
porcini,6
pork,24
pork loin,22
pork mince,23
pork ribs,4
pork shoulder,14
port,11
porter,1
potato,341
poussins,2
prawn,70
prosciutto,31
prosecco,10
provence,1
prune,9
puff pastry,56
pulp,1
pumpkin,8
